Kingdom,Species,Number,Method,Type,Host,Lamp,Wavelength,Log,Fluence,Protocol,Tailing,Antibiotic_Resistant,Reference,Action_Spectrum
Fungi,Aspergillus brasiliensis,ATCC 16404,,Spore,,LP,,1,122,Y,N,,Taylor-Edmonds et al. 2015,N
Fungi,Aspergillus brasiliensis,ATCC 16404,,Spore,,LP,,2,226,Y,N,,Taylor-Edmonds et al. 2015,N
Fungi,Aspergillus brasiliensis,ATCC 16404,,Spore,,LP,,3,293,Y,N,,Taylor-Edmonds et al. 2015,N
Fungi,Aspergillus niger,ATCC 32625,,Spore,,LP,,1,116,Y,N,,Clauß 2006,N
Fungi,Aspergillus niger,ATCC 32625,,Spore,,LP,,2,245,Y,N,,Clauß 2006,N
Fungi,Aspergillus niger,ATCC 32625,,Spore,,LP,,3,370,Y,N,,Clauß 2006,N
Fungi,Aspergillus niger,ATCC 32625,,Spore,,LP,,4,560,Y,N,,Clauß 2006,
Fungi,Aspergillus niger,ATCC 32625,,Spore,,Excimer,222,1,90,Y,N,,Clauß 2006,N
Fungi,Aspergillus niger,ATCC 32625,,Spore,,Excimer,222,2,220,Y,N,,Clauß 2006,N
Fungi,Aspergillus niger,ATCC 32625,,Spore,,Excimer,222,3,325,Y,N,,Clauß 2006,N
Fungi,Aspergillus niger,ATCC 32625,,Spore,,Excimer,222,4,430,Y,N,,Clauß 2006,N
Bacteria,Bacillus anthracis,Sterne,,Spore,,LP,,1,28,Y,N,,Nicholson & Galeano 2003,N
Bacteria,Bacillus anthracis,Sterne,,Spore,,LP,,2,37,Y,N,,Nicholson & Galeano 2003,N
Bacteria,Bacillus anthracis,Sterne,,Spore,,LP,,3,52,Y,N,,Nicholson & Galeano 2003,N
Bacteria,Bacillus anthracis,Sterne,,Spore,,LP,,1,23,Y,N,,Blatchley III et al. 2005,N
Bacteria,Bacillus anthracis,Sterne,,Spore,,LP,,2,30,Y,N,,Blatchley III et al. 2005,N
Bacteria,Bacillus anthracis,Ames,,Spore,,LP,,1,25,Y,Y,,Rose & O’Connell 2009,N
Bacteria,Bacillus anthracis,Ames,,Spore,,LP,,2,40,Y,Y,,Rose & O’Connell 2009,N
Bacteria,Bacillus anthracis,Ames,,Spore,,LP,,3,120,Y,Y,,Rose & O’Connell 2009,N
Bacteria,Bacillus anthracis,Sterne,soil extract peptone-beef extract agar,Spore,,LP,,1,23,Y,Y,,Rose & O’Connell 2009,N
Bacteria,Bacillus anthracis,Sterne,soil extract peptone-beef extract agar,Spore,,LP,,2,40,Y,Y,,Rose & O’Connell 2009,N
Bacteria,Bacillus anthracis,Sterne,soil extract peptone-beef extract agar,Spore,,LP,,3,120,Y,Y,,Rose & O’Connell 2009,N
Bacteria,Bacillus anthracis,Sterne,Schaeffer’s sporulation medium,Spore,,LP,,1,23,Y,N,,Rose & O’Connell 2009,N
Bacteria,Bacillus anthracis,Sterne,Schaeffer’s sporulation medium,Spore,,LP,,2,36,Y,N,,Rose & O’Connell 2009,N
Bacteria,Bacillus anthracis,Sterne,Schaeffer’s sporulation medium,Spore,,LP,,3,80,Y,N,,Rose & O’Connell 2009,N
Bacteria,Bacillus atrophaeus,ATCC 9372,,Spore,,LP,,1,22,Y,N,,Zhang et al. 2014,N
Bacteria,Bacillus atrophaeus,ATCC 9372,,Spore,,LP,,2,38,Y,N,,Zhang et al. 2014,N
Bacteria,Bacillus atrophaeus,ATCC 9372,,Spore,,LP,,3,55,Y,N,,Zhang et al. 2014,N
Bacteria,Bacillus atrophaeus,ATCC 9372,,Spore,,LP,,4,71,Y,N,,Zhang et al. 2014,N
