"","kingdom","phyla","class","order","family","genera","gram","species","number","method","type","host","lamp","wavelength","protocol","tailing","antibiotic_resistant","reference","action_spectrum","pathogen","percent_reduction","fluence"
"1","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","Positive","Bacillus anthracis","Sterne","","Spore","","LP",NA,"Y","N","","Nicholson & Galeano 2003","N","Y","99.9%",52
"2","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","Positive","Bacillus anthracis","Ames","","Spore","","LP",NA,"Y","Y","","Rose & OíConnell 2009","N","Y","99.9%",120
"3","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","Positive","Bacillus anthracis","Sterne","soil extract peptone-beef extract agar","Spore","","LP",NA,"Y","Y","","Rose & OíConnell 2009","N","Y","99.9%",120
"4","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","Positive","Bacillus anthracis","Sterne","Schaefferís sporulation medium","Spore","","LP",NA,"Y","N","","Rose & OíConnell 2009","N","Y","99.9%",80
"5","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","Positive","Bacillus atrophaeus","ATCC 9372","","Spore","","LP",NA,"Y","N","","Zhang et al. 2014","N","","99.9%",55
"6","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","Positive","Bacillus atrophaeus","ATCC 9372","","Spore","","LP",NA,"Y","N","","Zhang et al. 2014","N","","99.99%",71
"7","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","Positive","Bacillus cereus","ATCC 11778","","Spore","","Excimer",222,"Y","N","","Clauﬂ 2006","N","Y","99%",43
"8","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","Positive","Bacillus cereus","ATCC 11778","","Spore","","Excimer",222,"Y","N","","Clauﬂ 2006","N","Y","99.9%",69
"9","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","Positive","Bacillus cereus","ATCC 11778","","Spore","","LP",NA,"Y","N","","Clauﬂ 2006","N","Y","90%",52
"10","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","Positive","Bacillus cereus","ATCC 11778","","Spore","","LP",NA,"Y","N","","Clauﬂ 2006","N","Y","99%",93
"11","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","Positive","Bacillus cereus","ATCC 11778","","Spore","","LP",NA,"Y","N","","Clauﬂ 2006","N","Y","99.9%",140
"12","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","Positive","Bacillus megaterium","QMB 1551","","Spore","","",265,"N","N","","Donnellan & Stafford 1968","N","","99%",42
"13","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","Positive","Bacillus megaterium","QMB 1551","","Spore","","",265,"N","N","","Donnellan & Stafford 1968","N","","99.9%",55
"14","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","Positive","Bacillus pumilus","ASFUVRC","","Spore","","Filtered MP",258,"Y","N","","Beck et al. 2015","N","","90%",87
"15","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","Positive","Bacillus pumilus","ASFUVRC","","Spore","","Filtered MP",258,"Y","N","","Beck et al. 2015","N","","99%",130
"16","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","Positive","Bacillus pumilus","ASFUVRC","","Spore","","Filtered MP",258,"Y","N","","Beck et al. 2015","N","","99.9%",184
"17","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","Positive","Bacillus pumilus","ASFUVRC","","Spore","","LP",NA,"Y","N","","Boczek et al. 2016","N","","90%",173
"18","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","Positive","Bacillus pumilus","ASFUVRC","","Spore","","LP",NA,"Y","N","","Boczek et al. 2016","N","","99%",348
"19","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","Positive","Bacillus pumilus","ATCC 27142","","Spore","","LP",NA,"Y","N","","Boczek et al. 2016","N","","90%",68
"20","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","Positive","Bacillus pumilus","ATCC 27142","","Spore","","LP",NA,"Y","N","","Boczek et al. 2016","N","","99%",138
"21","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","Positive","Bacillus pumilus","ATCC 27142","","Spore","","LP",NA,"Y","N","","Boczek et al. 2016","N","","99.9%",204
"22","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","Positive","Bacillus pumilus","ATCC 27142","","Spore","","LP",NA,"Y","N","","Boczek et al. 2016","N","","99.99%",272
"23","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","Positive","Bacillus subtilis","ATCC 6633","","Spore","","LP",NA,"Y","N","","Chang et al. 1985","N","","99%",48
"24","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","Positive","Bacillus subtilis","ATCC 6633","","Spore","","LP",NA,"Y","N","","Chang et al. 1985","N","","99.9%",59
"25","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","Positive","Bacillus subtilis","ATCC 6633","","Spore","","LP",NA,"Y","N","","Chang et al. 1985","N","","99.99%",77
"26","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","Positive","Bacillus subtilis","ATCC 6633","","Spore","","LP",NA,"Y","N","","Sommer et al. 1998","N","","99.9%",50
"27","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","Positive","Bacillus subtilis","ATCC 6633","","Spore","","LP",NA,"Y","N","","Sommer et al. 1999","N","","99.9%",60
"28","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","Positive","Bacillus subtilis","ATCC 6633","","Spore","","LP",NA,"Y","N","","Sommer et al. 1999","N","","99.99%",81
"29","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","Positive","Bacillus subtilis","ATCC 6633","","Spore","","LP",NA,"Y","N","","Cabaj et al. 2002","Y","","99%",47
"30","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","Positive","Bacillus subtilis","ATCC 6633","","Spore","","LP",NA,"Y","N","","Cabaj et al. 2002","Y","","99.9%",64
"31","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","Positive","Bacillus subtilis","ATCC 6633","","Spore","","LP",NA,"Y","N","","Cabaj et al. 2002","Y","","99.99%",80
"32","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","Positive","Bacillus subtilis","ATCC 6633","","Spore","","LP",NA,"Y","N","","Nicholson & Galeano 2003","N","","99.9%",50
"33","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","Positive","Bacillus subtilis","ATCC 6633","","Spore","","LP",NA,"Y","N","","Nicholson & Galeano 2003","N","","99.99%",60
"34","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","Positive","Bacillus subtilis","ATCC 6633","","Spore","","LP",NA,"Y","N","","Mamane-Gravetz & Linden
2004","N","","99.9%",47
"35","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","Positive","Bacillus subtilis","ATCC 6633","","Spore","","LP",NA,"Y","N","","Mamane-Gravetz & Linden
2004","N","","99.99%",79
